food_id,nutrient_id,amount_in_food
9427,312,0.057
9002,312,0.086
9001,312,0.086
14006,312,0.006
14007,312,0.002
14005,312,0.001
14013,312,0.002
14003,312,0.005
14004,312,0.003
14034,312,0.08
14009,312,0.016
14010,312,0.022
14533,312,0.021
14037,312,0.021
14550,312,0.021
14551,312,0.021
14532,312,0.021
14049,312,0.004
14050,312,0.05
14051,312,0.01
14052,312,0.014
14415,312,0.04
14414,312,0.04
14534,312,0.04
14015,312,0.087
14017,312,0.079
43479,312,0.009
14019,312,0.042
14027,312,0.009
14029,312,0.008
14025,312,0.034
43154,312,0.011
14536,312,0.045
14057,312,0.045
43155,312,0.011
14084,312,0.007
14096,312,0.011
14602,312,0.011
14106,312,0.004
14160,312,0.004
11001,312,0.157
20002,312,0.149
20001,312,0.525
11700,312,0.158
11004,312,0.158
11003,312,0.162
4609,312,0
9400,312,0.012
9517,312,0.01
9016,312,0.012
9018,312,0.014
9411,312,0.014
9410,312,0.05
9017,312,0.05
36000,312,0.076
36023,312,0.069
36005,312,0.071
36019,312,0.086
36021,312,0.017
36022,312,0.087
36001,312,0.14
36018,312,0.039
36002,312,0.109
36003,312,0.061
36004,312,0.059
9008,312,0.051
9007,312,0.053
9010,312,0.058
9009,312,0.271
9013,312,0.042
9012,312,0.044
9011,312,0.191
9015,312,0.065
9014,312,0.058
9504,312,0.025
9503,312,0.021
9501,312,0.03
9502,312,0.031
9500,312,0.027
9003,312,0.027
9004,312,0.031
9005,312,0.035
9006,312,0.046
9402,312,0.043
9020,312,0.032
9401,312,0.027
9019,312,0.027
9403,312,0.073
9036,312,0.073
9029,312,0.064
9025,312,0.04
9027,312,0.078
9028,312,0.065
9357,312,0.097
9024,312,0.054
9026,312,0.079
9022,312,0.082
9023,312,0.068
9031,312,0.227
9030,312,0.576
9034,312,0.138
9033,312,0.121
9032,312,0.343
9035,312,0.064
9021,312,0.078
11701,312,0.135
11006,312,0.135
11005,312,0.171
20003,312,0.04
11697,312,0.121
11702,312,0.127
11008,312,0.127
11703,312,0.061
11010,312,0.061
11009,312,0.054
11007,312,0.231
11959,312,0.076
11015,312,0.096
11707,312,0.107
11013,312,0.107
11012,312,0.165
11705,312,0.165
11709,312,0.105
11019,312,0.105
11018,312,0.137
11011,312,0.189
9037,312,0.19
9038,312,0.17
9039,312,0.311
3964,312,0.082
42150,312,0.05
3167,312,0.02
3169,312,0.01
3289,312,0.04
3115,312,0.02
3997,312,0.156
42284,312,0.22
43550,312,0.03
42119,312,0.03
43546,312,0.04
3995,312,0.094
3301,312,0.014
3290,312,0.054
42316,312,0.081
3181,312,0.467
3681,312,0.057
42285,312,0.368
3201,312,0.02
3682,312,0.217
3211,312,0.964
3711,312,0.166
3185,312,0.334
3685,312,0.059
3188,312,0.055
3187,312,0.054
3186,312,0.256
3686,312,0.053
3704,312,0.064
3189,312,0.458
3689,312,0.094
3192,312,0.075
3191,312,0.073
3190,312,0.391
3690,312,0.053
3193,312,0.529
3693,312,0.095
43544,312,0.377
3194,312,0.331
3694,312,0.048
3195,312,0.051
3212,312,0.254
3712,312,0.042
3696,312,0.063
3210,312,0.025
3184,312,0.62
3198,312,0.022
3197,312,0.022
3199,312,0.025
3222,312,0.01
3206,312,0.04
3213,312,0.074
3214,312,0.074
3934,312,0.051
3209,312,0.13
43004,312,0.04
43539,312,0.02
43537,312,0.03
3225,312,0.051
3224,312,0.05
3246,312,0.01
3245,312,0.05
3221,312,0.03
3220,312,0.059
3236,312,0.03
3235,312,0.03
3226,312,0.05
3233,312,0.023
3228,312,0.196
3227,312,0.19
3230,312,0.177
3229,312,0.178
43536,312,0.04
3238,312,0.028
3297,312,0.04
3049,312,0.054
3043,312,0.097
3287,312,0.032
3047,312,0.05
3052,312,0.072
3055,312,0.036
3298,312,0.03
43373,312,0.02
43008,312,0.025
3069,312,0.03
3068,312,0.07
3070,312,0.279
3072,312,0.02
3090,312,0.021
3089,312,0.02
3045,312,0.039
3044,312,0.05
43432,312,0.02
3279,312,0.036
3278,312,0.044
3077,312,0.11
3304,312,0.06
3050,312,0.03
3051,312,0.02
3303,312,0.081
3083,312,0.03
3082,312,0.03
3296,312,0.1
3059,312,0.04
3054,312,0.03
3053,312,0.03
3274,312,0.02
3042,312,0.03
3041,312,0.029
3062,312,0.03
3061,312,0.07
3067,312,0.029
3066,312,0.029
3081,312,0.026
3079,312,0.022
3085,312,0.02
3084,312,0.09
3073,312,0.07
3076,312,0.058
3075,312,0.054
3154,312,0.09
3140,312,0.03
43585,312,0.035
3165,312,0.057
3164,312,0.056
3153,312,0.053
3152,312,0.054
3143,312,0.044
3142,312,0.041
3145,312,0.046
3144,312,0.045
3151,312,0.036
