id,age_range,sex,nutrient_id,daily_value,upper_limit
0,0,M,320,600,1700
1,0,M,401,45,1200
2,0,M,328,5,50
3,0,M,323,11,600
4,0,M,430,60,10000
5,0,M,415,1,60
6,0,M,578,1.8,10000
7,0,M,301,"1,300","2,500"
8,0,M,312,0.7,5
9,0,M,303,8,40
10,0,M,304,240,10000
11,0,M,315,1.9,6
12,0,M,305,1250,4000
13,0,M,309,8,23
14,0,M,306,4.5,10000
15,0,M,307,1500,2200
16,0,M,205,130,10000
17,0,M,291,31,10000
18,0,M,203,34,10000
19,0,M,204,0,10000
20,0,M,269,0,10000
21,0,M,262,0,100
22,0,F,320,600,1700
23,0,F,401,45,1200
24,0,F,328,5,50
25,0,F,323,11,600
26,0,F,430,60,10000
27,0,F,415,1,60
28,0,F,578,1.8,10000
29,0,F,301,"1,300","2,500"
30,0,F,312,0.7,5
31,0,F,303,8,40
32,0,F,304,240,10000
33,0,F,315,1.6,6
34,0,F,305,1250,4000
35,0,F,309,8,23
36,0,F,306,4.5,10000
37,0,F,307,1500,2200
38,0,F,205,130,10000
39,0,F,291,26,10000
40,0,F,203,34,10000
41,0,F,204,0,10000
42,0,F,269,0,10000
43,0,F,262,0,100
44,1,M,320,900,2800
45,1,M,401,75,1800
46,1,M,328,5,50
47,1,M,323,15,800
48,1,M,430,75,10000
49,1,M,415,1.3,80
50,1,M,578,2.4,10000
51,1,M,301,"1,300","2,500"
52,1,M,312,0.89,8
53,1,M,303,11,45
54,1,M,304,410,10000
55,1,M,315,2.2,9
56,1,M,305,1250,4000
57,1,M,309,11,34
58,1,M,306,4.7,10000
59,1,M,307,1500,2300
60,1,M,205,130,10000
61,1,M,291,38,10000
62,1,M,203,52,10000
63,1,M,204,0,10000
64,1,M,269,0,10000
65,1,M,262,0,100
66,1,F,320,700,2800
67,1,F,401,65,1800
68,1,F,328,5,50
69,1,F,323,15,800
70,1,F,430,75,10000
71,1,F,415,1.2,80
72,1,F,578,2.4,10000
73,1,F,301,"1,300","2,500"
74,1,F,312,0.89,8
75,1,F,303,15,45
76,1,F,304,360,10000
