food_id,nutrient_id,amount_in_food
9427,303,1.61
9002,303,0.5
9001,303,0.2
14006,303,0.03
14007,303,0
14005,303,0
14013,303,0
14003,303,0.02
14004,303,0
14034,303,0.07
14009,303,0.01
14010,303,0.09
14533,303,0.04
14037,303,0.04
14550,303,0.04
14551,303,0.04
14532,303,0.04
14049,303,0
14050,303,0.12
14051,303,0.01
14052,303,0.02
14415,303,0.13
14414,303,0.06
14534,303,0.06
14015,303,0.03
14017,303,0.21
43479,303,0.1
14019,303,0.02
14027,303,0.01
14029,303,0.08
14025,303,0.08
43154,303,0.4
14536,303,0.24
14057,303,0.24
43155,303,0.4
14084,303,0.37
14096,303,0.46
14602,303,0.46
14106,303,0.27
14160,303,0.27
11001,303,0.96
20002,303,2.1
20001,303,7.61
11700,303,2.26
11004,303,2.26
11003,303,2.32
4609,303,0
9400,303,0.12
9517,303,0.13
9016,303,0.12
9018,303,0.26
9411,303,0.26
9410,303,0.91
9017,303,0.91
36000,303,2.07
36023,303,0.9
36005,303,0.9
36019,303,1.46
36021,303,0.26
36022,303,0.67
36001,303,1.03
36018,303,0.35
36002,303,1.01
36003,303,0.84
36004,303,0.43
9008,303,0.24
9007,303,0.23
9010,303,0.43
9009,303,2
9013,303,0.31
9012,303,0.33
9011,303,1.4
9015,303,0.19
9014,303,0.18
9504,303,0.1
9503,303,0.12
9501,303,0.13
9502,303,0.15
9500,303,0.11
9003,303,0.12
9004,303,0.07
9005,303,0.19
9006,303,0.17
9402,303,0.35
9020,303,0.12
9401,303,0.23
9019,303,0.23
9403,303,0.38
9036,303,0.38
9029,303,0.62
9025,303,0.3
9027,303,0.3
9028,303,0.43
9357,303,0.3
9024,303,0.3
9026,303,0.39
9022,303,0.32
9023,303,0.54
9031,303,2.48
9030,303,6.31
9034,303,1.52
9033,303,0.94
9032,303,2.66
9035,303,0.9
9021,303,0.39
18522,303,2.63
18524,303,0.82
18527,303,2.26
18528,303,3.36
18529,303,1.62
18532,303,4.1
18533,303,2.19
18535,303,4.68
18537,303,2.45
18538,303,2.4
18539,303,4.99
18540,303,3.06
18541,303,2.72
18544,303,2.32
18562,303,12.57
18547,303,2.32
18513,303,1.96
11701,303,1.21
11006,303,1.21
11005,303,2.57
20003,303,0.33
11697,303,2.22
11702,303,0.61
11008,303,0.61
11703,303,0.56
11010,303,0.56
11009,303,0.5
11007,303,1.28
11959,303,1.46
11015,303,1.83
11707,303,0.6
11013,303,0.6
11012,303,0.91
11705,303,0.91
11709,303,0.56
11019,303,0.56
11018,303,0.73
11011,303,2.14
18984,303,3.2
18987,303,3.4
28258,303,3.2
18983,303,3
18985,303,3.1
18986,303,3.2
18990,303,3.1
28256,303,3.5
18988,303,3.5
28257,303,3.3
18989,303,3.3
9037,303,0.55
9038,303,0.61
9039,303,0.17
3964,303,13.16
42150,303,0
3167,303,0.2
3169,303,0.22
3289,303,0.3
3115,303,0.2
3997,303,0
42284,303,22.5
43550,303,0.1
42119,303,0.2
43546,303,0.3
3995,303,0
3301,303,0
3290,303,0.5
42316,303,0.2
3181,303,47.5
3681,303,3.49
42285,303,47.6
3201,303,0.47
3682,303,12.14
3211,303,47.5
3711,303,14.42
3185,303,47.5
3685,303,10.43
3188,303,5.61
3187,303,6.62
3186,303,47.5
3686,303,3.63
3704,303,11.27
3189,303,51.25
3689,303,12.14
3192,303,7.5
3191,303,5.65
3190,303,47.5
3690,303,3.63
3193,303,67.23
3693,303,11.09
43544,303,9
3194,303,47.5
3694,303,3.63
3195,303,6.73
3212,303,47.5
3712,303,3.63
3696,303,10.81
3210,303,2.6
3184,303,45
3198,303,0.51
3197,303,0.47
3199,303,0.54
3222,303,0.1
3206,303,2.9
