food_id,nutrient_id,amount_in_food
09002,304,12.0
09001,304,18.0
14006,304,5.0
14007,304,7.0
14005,304,6.0
14248,304,5.0
14013,304,4.0
14003,304,6.0
14004,304,7.0
14034,304,0.0
14009,304,1.0
14010,304,2.0
14533,304,0.0
14037,304,0.0
14550,304,0.0
14551,304,0.0
14532,304,0.0
14049,304,0.0
14050,304,0.0
14051,304,0.0
14052,304,0.0
14415,304,2.0
14414,304,3.0
14534,304,3.0
14239,304,4.0
14015,304,6.0
14017,304,8.0
43479,304,6.0
14019,304,7.0
14531,304,1.0
14027,304,1.0
14029,304,1.0
14025,304,3.0
43154,304,10.0
14536,304,9.0
14057,304,9.0
43155,304,10.0
14084,304,11.0
14096,304,12.0
14602,304,12.0
14106,304,10.0
14160,304,10.0
14251,304,12.0
14253,304,10.0
11001,304,27.0
20002,304,65.0
20001,304,248.0
11700,304,55.0
11004,304,55.0
11003,304,55.0
28354,304,42.0
04609,304,0.0
09400,304,5.0
09517,304,5.0
09016,304,5.0
09018,304,5.0
09411,304,5.0
09410,304,17.0
09017,304,17.0
36000,304,24.0
36023,304,30.0
36005,304,30.0
36019,304,18.0
36021,304,10.0
36022,304,17.0
36001,304,23.0
36018,304,20.0
36002,304,29.0
36003,304,22.0
36004,304,20.0
09008,304,3.0
09007,304,2.0
09010,304,5.0
09009,304,22.0
09013,304,3.0
09012,304,4.0
09011,304,16.0
09015,304,3.0
09014,304,3.0
09504,304,5.0
09503,304,5.0
09501,304,5.0
09502,304,5.0
09500,304,5.0
09003,304,5.0
09004,304,4.0
09005,304,3.0
09006,304,3.0
09402,304,3.0
09020,304,3.0
09401,304,3.0
09019,304,3.0
09403,304,5.0
09036,304,5.0
09029,304,8.0
09025,304,6.0
09027,304,7.0
09028,304,8.0
09357,304,7.0
09024,304,10.0
09026,304,8.0
09022,304,7.0
09023,304,9.0
09031,304,25.0
09030,304,63.0
09034,304,15.0
09033,304,11.0
09032,304,32.0
09035,304,9.0
09021,304,10.0
21527,304,23.0
11701,304,49.0
11006,304,49.0
11005,304,51.0
20003,304,3.0
11697,304,25.0
11702,304,42.0
11008,304,42.0
11703,304,31.0
11010,304,31.0
11009,304,27.0
11007,304,60.0
11959,304,47.0
11015,304,10.0
11707,304,9.0
11013,304,9.0
11012,304,14.0
11705,304,14.0
11709,304,10.0
11019,304,10.0
11018,304,14.0
11011,304,14.0
18984,304,11.0
18987,304,13.0
28258,304,12.0
18983,304,10.0
18985,304,11.0
18986,304,12.0
18990,304,11.0
28256,304,12.0
18988,304,13.0
28257,304,12.0
18989,304,12.0
09037,304,29.0
09038,304,29.0
09039,304,24.0
42150,304,15.0
03167,304,6.0
03169,304,3.0
03289,304,7.0
03115,304,6.0
03997,304,47.0
42284,304,27.0
43550,304,8.0
42119,304,10.0
43546,304,26.0
03995,304,23.0
03301,304,3.0
03290,304,13.0
42316,304,6.0
03181,304,115.0
03681,304,18.0
42285,304,28.0
03201,304,5.0
03682,304,48.0
03211,304,159.0
03711,304,37.0
03185,304,100.0
03685,304,20.0
03188,304,7.0
03187,304,8.0
03186,304,90.0
03686,304,18.0
03704,304,28.0
03189,304,111.0
03689,304,35.0
03192,304,11.0
03191,304,11.0
03190,304,118.0
03690,304,18.0
03193,304,146.0
03693,304,35.0
43544,304,37.0
03194,304,37.0
03694,304,25.0
03195,304,3.0
03212,304,141.0
03712,304,20.0
03696,304,45.0
03184,304,140.0
03198,304,3.0
03197,304,3.0
03199,304,3.0
03222,304,2.0
03206,304,30.0
03213,304,49.0
03214,304,22.0
03934,304,10.0
03209,304,37.0
43004,304,5.0
43539,304,10.0
43537,304,13.0
03225,304,2.0
03224,304,2.0
03246,304,5.0
03245,304,5.0
03221,304,4.0
03220,304,2.0
03236,304,5.0
03235,304,5.0
03226,304,5.0
03233,304,9.0
03228,304,2.0
03227,304,2.0
03230,304,2.0
03229,304,2.0
43536,304,13.0
03238,304,5.0
03297,304,6.0
03049,304,8.0
03043,304,11.0
03287,304,7.0
03047,304,10.0
03052,304,11.0
03055,304,15.0
03298,304,12.0
43373,304,10.0
43008,304,8.0
03069,304,7.0
03068,304,14.0
03070,304,5.0
03072,304,10.0
03090,304,7.0
03089,304,8.0
03045,304,7.0
03044,304,12.0
43432,304,15.0
03279,304,13.0
03278,304,11.0
03077,304,24.0
03304,304,14.0
03050,304,11.0
03051,304,15.0
03303,304,13.0
03083,304,9.0
03082,304,8.0
03296,304,14.0
03059,304,10.0
03054,304,10.0
03053,304,10.0
03274,304,8.0
03042,304,7.0
03041,304,6.0
03062,304,8.0
03061,304,12.0
03067,304,7.0
03066,304,7.0
03081,304,9.0
03079,304,8.0
03085,304,9.0
03084,304,13.0
03073,304,14.0
03076,304,11.0
03075,304,10.0
03964,304,19.0
03154,304,6.0
03140,304,6.0
43585,304,7.0
03165,304,3.0
03164,304,3.0
03153,304,4.0
03152,304,4.0
03143,304,4.0
03142,304,4.0
03145,304,4.0
03144,304,4.0
03151,304,4.0
03150,304,3.0
03147,304,9.0
03117,304,3.0
03116,304,3.0
03128,304,4.0
03118,304,4.0
03994,304,30.0
03156,304,6.0
03157,304,6.0
03163,304,25.0
03280,304,12.0
03129,304,10.0
03160,304,5.0
03162,304,5.0
03131,304,7.0
03130,304,7.0
03159,304,7.0
03158,304,7.0
03133,304,9.0
03132,304,8.0
03135,304,4.0
03134,304,4.0
03137,304,10.0
03136,304,10.0
43007,304,4.0
43006,304,4.0
42286,304,22.0
03093,304,19.0
03001,304,7.0
03166,304,3.0
43535,304,3.0
03268,304,3.0
03265,304,6.0
03168,304,3.0
03170,304,3.0
03171,304,7.0
03269,304,6.0
42266,304,7.0
03267,304,7.0
03179,304,5.0
03172,304,9.0
03173,304,5.0
03174,304,6.0
03175,304,7.0
03176,304,14.0
03177,304,9.0
42267,304,10.0
43408,304,8.0
03178,304,8.0
03048,304,9.0
03959,304,8.0
43417,304,11.0
03003,304,11.0
03002,304,11.0
03014,304,14.0
03013,304,11.0
03012,304,13.0
03009,304,11.0
03008,304,13.0
03011,304,10.0
03010,304,13.0
03021,304,11.0
03007,304,10.0
03017,304,10.0
03016,304,12.0
03015,304,12.0
03005,304,11.0
42120,304,10.0
43523,304,4.0
03205,304,107.0
03161,304,8.0
03141,304,7.0
42279,304,25.0
03122,304,19.0
03293,304,11.0
03112,304,15.0
03215,304,28.0
03139,304,17.0
03046,304,7.0
43529,304,15.0
03019,304,9.0
03302,304,53.0
03998,304,69.0
03216,304,35.0
42278,304,15.0
03114,304,26.0
03096,304,20.0
03098,304,14.0
03100,304,11.0
03099,304,9.0
03120,304,8.0
03119,304,8.0
03283,304,21.0
03092,304,22.0
03091,304,20.0
03282,304,11.0
03286,304,10.0
03121,304,17.0
03127,304,55.0
03105,304,14.0
03104,304,14.0
03108,304,13.0
03109,304,12.0
03024,304,0.0
03956,304,15.0
03965,304,15.0
07921,304,17.0
43212,304,95.0
16104,304,19.0
10994,304,12.0
07974,304,19.0
18005,304,28.0
18006,304,23.0
18003,304,25.0
28322,304,85.0
18007,304,31.0
18001,304,29.0
18002,304,24.0
18406,304,29.0
18407,304,29.0
18408,304,29.0
18968,304,51.0
28319,304,41.0
19124,304,95.0
19077,304,265.0
19078,304,327.0
11710,304,94.0
11023,304,94.0
11022,304,85.0
11711,304,16.0
11025,304,16.0
11024,304,17.0
11028,304,4.0
11712,304,3.0
11027,304,3.0
11026,304,3.0
09041,304,108.0
09040,304,27.0
32035,304,17.0
18991,304,20.0
07001,304,17.0
20130,304,96.0
20131,304,97.0
20004,304,133.0
20006,304,22.0
20005,304,79.0
02044,304,64.0
16302,304,52.0
16003,304,31.0
16002,304,52.0
16001,304,127.0
43449,304,32.0
16006,304,27.0
16007,304,25.0
16008,304,28.0
16009,304,34.0
16010,304,30.0
16011,304,34.0
16005,304,43.0
16018,304,35.0
16317,304,49.0
16017,304,49.0
16016,304,160.0
