food_id,nutrient_id,amount_in_food
14006,315,0.006
14007,315,0.006
14005,315,0.007
14013,315,0.005
14003,315,0.008
14004,315,0.009
14034,315,0.04
14009,315,0.005
14010,315,0.015
14533,315,0.018
14037,315,0.018
14550,315,0.018
14551,315,0.018
14532,315,0.018
14049,315,0.0
14050,315,0.018
14051,315,0.0
14052,315,0.008
14415,315,0.006
14414,315,0.014
14534,315,0.017
14239,315,0.006
14015,315,0.319
14017,315,0.528
14019,315,0.014
14531,315,0.006
14027,315,0.006
14029,315,0.007
14025,315,0.007
14536,315,0.119
14057,315,0.119
14084,315,0.124
14096,315,0.132
14602,315,0.132
14106,315,0.117
14160,315,0.117
14251,315,0.022
14253,315,0.131
11001,315,0.188
20002,315,0.854
20001,315,3.333
11700,315,0.861
11004,315,0.861
11003,315,0.885
28354,315,0.671
09400,315,0.074
09517,315,0.035
09016,315,0.074
09018,315,0.063
09411,315,0.063
09410,315,0.225
09017,315,0.225
36000,315,0.014
36023,315,0.258
36005,315,0.26
36019,315,0.084
36021,315,0.148
36022,315,0.486
36001,315,0.281
36018,315,0.097
36002,315,0.268
36003,315,0.254
36004,315,0.239
09008,315,0.165
09007,315,0.153
09010,315,0.027
09009,315,0.128
09013,315,0.02
09012,315,0.021
09011,315,0.09
09015,315,0.146
09014,315,0.169
09504,315,0.031
09503,315,0.037
09501,315,0.035
09502,315,0.044
09500,315,0.034
09003,315,0.035
09004,315,0.038
09005,315,0.118
09006,315,0.142
09402,315,0.075
09020,315,0.03
09401,315,0.025
09019,315,0.025
09403,315,0.032
09036,315,0.032
09029,315,0.05
09025,315,0.052
09027,315,0.051
09028,315,0.051
09024,315,0.052
09026,315,0.052
09022,315,0.053
09023,315,0.053
09031,315,0.145
09030,315,0.369
09034,315,0.088
09033,315,0.083
09032,315,0.235
09035,315,0.05
09021,315,0.077
21527,315,0.234
11701,315,0.285
11006,315,0.285
11005,315,0.36
20003,315,0.47
11697,315,0.174
11702,315,0.225
11008,315,0.225
11703,315,0.273
11010,315,0.273
11009,315,0.243
11007,315,0.256
11959,315,0.321
11015,315,0.17
11707,315,0.152
11013,315,0.152
11012,315,0.154
11705,315,0.154
11709,315,0.14
11019,315,0.14
11018,315,0.203
11011,315,0.158
09037,315,0.142
09038,315,0.149
09039,315,0.095
03167,315,0.08
03169,315,0.16
03289,315,0.02
03115,315,0.04
03997,315,0.732
03995,315,0.351
03301,315,0.087
03290,315,0.14
03681,315,0.004
03685,315,0.004
03686,315,0.004
03189,315,3.898
03690,315,0.004
43544,315,1.298
03194,315,1.402
03694,315,0.004
03712,315,0.004
03184,315,2.52
03222,315,0.02
03206,315,0.22
03213,315,0.348
03934,315,0.0
03209,315,0.77
03246,315,0.01
03221,315,0.02
03297,315,0.03
03047,315,0.12
03055,315,0.006
03298,315,0.12
03069,315,0.1
03068,315,0.16
03089,315,0.09
03044,315,0.13
03279,315,0.144
03077,315,0.39
03304,315,0.018
03050,315,0.12
03303,315,0.153
03083,315,0.12
03082,315,0.13
03296,315,0.23
03059,315,0.14
03054,315,0.106
03053,315,0.18
03274,315,0.11
03062,315,0.07
03061,315,0.14
03085,315,0.06
03084,315,0.14
03073,315,0.15
03964,315,0.461
03154,315,0.06
03147,315,0.1
03994,315,0.3
03163,315,0.082
03131,315,0.037
03130,315,0.037
03093,315,0.08
03001,315,0.062
03269,315,0.29
03267,315,0.09
03959,315,0.056
03003,315,0.037
03002,315,0.037
03010,315,0.037
03017,315,0.037
03016,315,0.037
03015,315,0.037
03005,315,0.037
03205,315,2.8
03161,315,0.05
03141,315,0.03
03122,315,0.15
03112,315,0.07
03019,315,0.7
03302,315,0.077
03998,315,0.312
03114,315,0.12
03096,315,0.28
03091,315,0.265
03121,315,0.218
03105,315,0.083
03104,315,0.083
03024,315,0.0
03956,315,0.101
03965,315,0.064
07921,315,0.038
16104,315,0.205
10994,315,0.011
07974,315,0.011
18005,315,0.876
18006,315,0.328
18003,315,0.41
28322,315,1.79
18007,315,0.863
18001,315,0.539
18002,315,0.575
18406,315,0.54
18407,315,0.54
18408,315,0.54
18968,315,1.43
19124,315,0.449
19077,315,1.65
19078,315,4.167
11710,315,0.536
11023,315,0.536
11022,315,0.536
11711,315,0.086
11025,315,0.086
11024,315,0.089
11028,315,0.157
11712,315,0.113
11027,315,0.113
11026,315,0.262
09041,315,0.574
09040,315,0.27
32035,315,0.173
07001,315,0.04
20130,315,1.034
20131,315,1.193
20004,315,1.943
20006,315,0.259
20005,315,1.322
02044,315,1.148
16302,315,0.573
16003,315,0.504
16002,315,0.573
16001,315,1.73
16006,315,0.109
16007,315,0.6
16008,315,0.42
16009,315,0.361
16010,315,0.362
16011,315,0.302
16005,315,0.255
16018,315,0.233
16317,315,0.327
16017,315,0.327
16016,315,1.0
16316,315,0.233
16315,315,0.444
16015,315,0.444
16014,315,1.06
16021,315,0.2
16320,315,0.37
16020,315,0.37
16019,315,0.92
11973,315,0.661
16323,315,0.382
16023,315,0.382
16022,315,1.2
16026,315,0.408
16326,315,0.408
16325,315,0.518
16025,315,0.518
16024,315,1.423
16029,315,0.168
16328,315,0.477
16028,315,0.43
16027,315,1.021
16331,315,0.318
16031,315,0.318
16030,315,1.0
11029,315,0.182
16145,315,0.384
16335,315,0.382
16337,315,0.291
16034,315,0.291
16333,315,0.477
16033,315,0.477
16032,315,1.111
16336,315,0.255
16036,315,0.255
16035,315,1.109
11626,315,0.073
16039,315,0.375
16338,315,0.527
16038,315,0.527
16037,315,1.418
11046,315,0.408
16341,315,0.548
16041,315,0.548
16040,315,1.376
16146,315,0.383
11720,315,0.493
11049,315,0.493
11048,315,0.546
16345,315,0.37
16044,315,0.318
16347,315,0.318
16343,315,0.453
16043,315,0.453
16042,315,1.148
11050,315,0.382
16346,315,0.51
16046,315,0.51
16045,315,1.278
11058,315,0.312
