food_id,nutrient_id,amount_in_food
09002,203,0.4
09001,203,0.4
14006,203,0.24
14007,203,0.25
14005,203,0.2
14248,203,0.25
14013,203,0.17
14003,203,0.46
14004,203,0.36
14034,203,0.0
14009,203,0.0
14010,203,0.06
14533,203,0.0
14037,203,0.0
14550,203,0.0
14551,203,0.0
14532,203,0.0
14049,203,0.0
14050,203,0.0
14051,203,0.0
14052,203,0.0
14415,203,2.8
14414,203,0.1
14534,203,0.1
14239,203,0.0
14015,203,0.6
14017,203,0.42
43479,203,0.5
14019,203,0.3
14531,203,0.0
14027,203,0.0
14029,203,0.06
14025,203,0.1
43154,203,0.5
14536,203,0.2
14057,203,0.2
43155,203,0.07
14084,203,0.07
14096,203,0.07
14101,203,0.07
14152,203,0.07
14098,203,0.07
14097,203,0.07
14109,203,0.07
14105,203,0.07
14158,203,0.07
14107,203,0.07
14602,203,0.07
14159,203,0.07
14103,203,0.07
14099,203,0.07
14108,203,0.07
14100,203,0.07
14102,203,0.07
14106,203,0.07
14160,203,0.07
14116,203,0.07
14117,203,0.07
14124,203,0.07
14135,203,0.07
14125,203,0.07
14120,203,0.07
14140,203,0.07
14138,203,0.07
14113,203,0.07
14132,203,0.07
14134,203,0.07
14126,203,0.07
14251,203,0.9
14253,203,0.36
11001,203,3.99
20002,203,3.8
20001,203,13.56
11700,203,2.11
11004,203,2.11
11003,203,2.46
28354,203,5.65
04609,203,0.0
09400,203,0.1
09517,203,0.12
09016,203,0.1
09018,203,0.14
09411,203,0.14
09410,203,0.51
09017,203,0.51
36000,203,26.85
36023,203,19.62
36005,203,19.25
36019,203,12.56
36021,203,0.79
36022,203,4.58
36001,203,12.31
36018,203,13.23
36002,203,3.31
36003,203,5.01
36004,203,14.87
09008,203,0.18
09007,203,0.18
09010,203,0.28
09009,203,1.32
09013,203,0.2
09012,203,0.22
09011,203,0.93
09015,203,0.29
09014,203,0.28
09504,203,0.2
09503,203,0.25
09501,203,0.28
09502,203,0.44
09500,203,0.27
09003,203,0.26
09004,203,0.27
09005,203,0.26
09006,203,0.28
09402,203,0.18
09020,203,0.16
09401,203,0.17
09019,203,0.17
09403,203,0.37
09036,203,0.37
09029,203,0.55
09025,203,0.6
09027,203,0.53
09028,203,0.51
09357,203,0.64
09024,203,0.63
09026,203,0.53
09022,203,0.71
09023,203,0.69
09031,203,1.93
09030,203,4.9
09034,203,1.17
09033,203,1.2
09032,203,3.39
09035,203,0.7
09021,203,1.4
21527,203,15.17
18522,203,4.28
18524,203,3.02
18527,203,4.67
18528,203,4.5
18529,203,4.41
18532,203,3.5
18533,203,4.89
18535,203,4.25
18537,203,5.48
18538,203,5.17
18539,203,4.27
18540,203,5.17
18541,203,9.0
18544,203,4.35
18562,203,4.67
18547,203,4.35
18513,203,5.54
11701,203,4.49
11006,203,4.49
11005,203,5.33
20003,203,0.3
11697,203,4.24
11702,203,2.89
11008,203,2.89
11703,203,3.11
11010,203,3.11
11009,203,2.63
11007,203,3.27
18566,203,4.7
11959,203,2.58
11015,203,2.14
11707,203,1.8
11013,203,1.8
11012,203,2.4
11705,203,2.4
11709,203,2.95
11019,203,2.95
11018,203,3.23
11011,203,2.2
18984,203,7.5
18987,203,7.8
28258,203,7.8
18983,203,7.9
18985,203,7.7
18986,203,7.9
18990,203,7.6
28256,203,10.8
18988,203,9.7
28257,203,10.6
18989,203,9.5
09037,203,2.0
09038,203,1.96
09039,203,2.23
42150,203,0.8
03167,203,0.2
03169,203,0.0
03289,203,2.6
03115,203,0.2
03997,203,12.5
42284,203,6.4
43550,203,0.3
42119,203,2.5
43546,203,1.0
03995,203,1.01
03301,203,0.0
03290,203,3.4
42316,203,0.6
03181,203,13.2
03681,203,3.73
42285,203,8.7
03201,203,2.5
03682,203,8.7
03211,203,25.4
03711,203,6.9
03185,203,12.2
03685,203,4.14
03188,203,1.2
03187,203,1.2
03186,203,10.7
03686,203,3.82
03704,203,5.0
03189,203,10.99
03689,203,5.0
03192,203,1.3
03191,203,1.3
03190,203,12.0
03690,203,3.82
03193,203,13.5
03693,203,5.0
43544,203,6.6
03194,203,6.65
03694,203,3.45
03195,203,1.2
03212,203,8.7
03712,203,3.57
03696,203,3.9
03184,203,12.6
03198,203,1.9
03197,203,1.9
03199,203,2.2
03222,203,0.3
03206,203,6.8
03213,203,11.8
03214,203,7.6
03934,203,1.26
03209,203,8.4
43004,203,1.0
43539,203,1.1
43537,203,0.5
03225,203,0.2
03224,203,0.2
03246,203,1.76
03245,203,1.6
03221,203,0.2
03220,203,0.2
03236,203,0.3
03235,203,0.3
03226,203,1.1
03233,203,1.3
03228,203,0.3
03227,203,0.3
03230,203,0.3
03229,203,0.2
43536,203,0.9
03238,203,0.2
03297,203,2.16
03049,203,5.0
03043,203,4.2
03287,203,2.5
03047,203,2.44
03052,203,5.1
03055,203,2.03
03298,203,3.59
43373,203,3.8
43008,203,1.6
03069,203,2.37
03068,203,2.69
03070,203,1.6
03072,203,5.2
03090,203,2.6
03089,203,3.14
03045,203,2.5
03044,203,2.36
43432,203,4.34
03279,203,1.01
03278,203,1.2
03077,203,1.7
03304,203,3.5
03050,203,2.57
03051,203,5.3
03303,203,2.51
03083,203,2.37
03082,203,2.27
03296,203,3.8
03059,203,1.92
03054,203,2.21
03053,203,2.21
03274,203,2.04
03042,203,2.1
03041,203,2.0
03062,203,2.02
03061,203,2.19
03067,203,2.1
03066,203,2.0
03081,203,1.8
03079,203,1.2
03085,203,1.72
03084,203,2.32
03073,203,2.47
03076,203,1.7
03075,203,2.0
03964,203,5.43
03154,203,0.3
03140,203,0.3
43585,203,0.5
03165,203,0.2
03164,203,0.2
03153,203,0.2
03152,203,0.2
03143,203,0.2
03142,203,0.2
03145,203,0.0
03144,203,0.0
03151,203,0.1
03150,203,0.1
03147,203,0.37
03117,203,0.0
03116,203,0.2
03128,203,0.3
03118,203,0.3
03994,203,0.71
03156,203,0.2
03157,203,0.2
03163,203,0.9
03280,203,0.4
03129,203,0.4
03160,203,0.2
03162,203,0.2
03131,203,0.94
03130,203,0.94
03159,203,0.3
03158,203,0.3
03133,203,0.3
03132,203,0.3
03135,203,0.1
03134,203,0.1
03137,203,0.6
03136,203,0.6
43007,203,0.4
43006,203,0.4
42286,203,4.1
03093,203,1.2
03001,203,0.0
03166,203,0.0
43535,203,0.2
03268,203,0.1
03265,203,0.1
03168,203,0.2
03170,203,0.1
03171,203,0.2
03269,203,0.06
42266,203,0.3
03267,203,0.2
03179,203,0.1
03172,203,0.6
03173,203,0.4
03174,203,0.4
03175,203,0.8
03176,203,0.7
03177,203,0.5
42267,203,0.5
43408,203,0.0
03178,203,0.6
03048,203,3.5
03959,203,1.11
43417,203,3.5
03003,203,12.03
03002,203,12.03
03014,203,14.6
03013,203,14.0
03012,203,13.7
03009,203,11.3
03008,203,11.3
03011,203,15.2
03010,203,14.07
03021,203,13.4
03007,203,14.0
03017,203,13.7
03016,203,11.5
03015,203,11.5
03005,203,13.12
42120,203,2.4
43523,203,0.8
03205,203,10.5
03161,203,0.5
03141,203,0.3
42279,203,3.4
03122,203,3.9
03293,203,1.1
03112,203,1.0
03215,203,10.8
03139,203,1.0
03046,203,3.6
43529,203,6.7
03019,203,0.82
03302,203,14.29
03998,203,0.0
03216,203,10.7
42278,203,1.9
03114,203,2.0
03096,203,2.2
03098,203,1.3
03100,203,0.8
03099,203,0.8
03120,203,1.4
03119,203,1.4
03283,203,2.3
03092,203,1.2
03091,203,1.2
03282,203,1.4
03286,203,1.0
