food_id,nutrient_id,amount_in_food
09002,401,1600.0
09001,401,1677.6
14006,401,0.0
14248,401,0.0
14013,401,0.0
14003,401,0.0
14034,401,0.0
14009,401,1.3
14010,401,1.6
14533,401,0.0
14037,401,0.0
14550,401,0.0
14551,401,0.0
14532,401,0.0
14049,401,0.0
14050,401,0.0
14051,401,0.0
14052,401,0.0
14415,401,0.2
14414,401,0.0
14534,401,0.0
14239,401,2.8
14015,401,1.5
14017,401,4.9
43479,401,0.0
14019,401,19.3
14531,401,1.6
14027,401,1.6
14029,401,1.6
14025,401,0.4
43154,401,0.0
14536,401,0.0
14057,401,0.0
43155,401,0.0
14084,401,0.0
14096,401,0.0
14602,401,0.0
14106,401,0.0
14160,401,0.0
14251,401,0.0
14253,401,0.0
11001,401,8.2
20001,401,4.2
11700,401,41.1
11004,401,41.1
11003,401,43.3
04609,401,0.0
09400,401,38.5
09517,401,30.3
09016,401,0.9
09018,401,0.6
09411,401,25.0
09410,401,88.9
09017,401,2.1
36019,401,1.1
36021,401,13.7
36002,401,0.7
09008,401,0.2
09007,401,0.4
09010,401,0.6
09009,401,2.2
09013,401,0.9
09012,401,1.0
09011,401,3.9
09015,401,0.4
09014,401,0.1
09003,401,4.6
09004,401,4.0
09005,401,0.2
09006,401,0.3
09402,401,1.7
09020,401,1.7
09401,401,21.2
09019,401,1.0
09403,401,17.6
09036,401,0.6
09029,401,2.4
09025,401,4.0
09027,401,3.1
09028,401,2.8
09357,401,3.1
09024,401,4.9
09026,401,2.7
09022,401,3.4
09023,401,1.8
09031,401,7.1
09030,401,9.5
09034,401,1.4
09033,401,0.3
09032,401,1.0
09035,401,9.0
09021,401,10.0
18522,401,0.0
18524,401,0.0
18529,401,0.0
18533,401,0.0
18535,401,0.0
18537,401,0.0
18538,401,0.0
18539,401,0.0
18540,401,0.0
18541,401,0.0
18513,401,0.0
11701,401,0.3
11006,401,0.3
11005,401,1.1
20003,401,0.0
11697,401,1.9
11702,401,7.4
11008,401,7.4
11703,401,5.0
11010,401,5.0
11009,401,5.3
11007,401,11.7
11959,401,15.0
11015,401,18.4
11707,401,16.5
11013,401,16.5
11012,401,7.7
11705,401,7.7
11709,401,24.4
11019,401,24.4
11018,401,31.8
11011,401,5.6
09037,401,10.0
09038,401,8.8
09039,401,17.4
42150,401,35.1
03167,401,27.9
03169,401,27.9
03289,401,0.1
03115,401,31.3
03997,401,0.0
42284,401,10.0
43550,401,12.3
42119,401,33.9
43546,401,21.9
03995,401,18.2
03301,401,35.3
03290,401,0.8
42316,401,0.7
03181,401,2.2
03681,401,0.2
42285,401,0.0
03201,401,0.9
03211,401,3.1
03185,401,2.3
03685,401,0.3
03188,401,9.1
03187,401,25.5
03186,401,3.6
03686,401,0.4
03189,401,0.0
03689,401,1.3
03192,401,24.5
03191,401,21.8
03190,401,4.7
03690,401,0.4
03193,401,0.0
43544,401,250.0
03194,401,2.4
03694,401,0.2
03195,401,31.6
03212,401,2.0
03712,401,0.2
03696,401,0.0
03184,401,58.3
03198,401,0.7
03197,401,0.7
03199,401,0.8
03222,401,9.3
03206,401,1.5
03213,401,7.0
03214,401,5.5
03934,401,5.0
03209,401,50.5
43004,401,12.0
43539,401,13.9
43537,401,12.4
03225,401,1.1
03224,401,1.1
03246,401,0.4
03245,401,0.8
03221,401,18.0
03220,401,21.4
03236,401,3.0
03235,401,2.5
03226,401,9.1
03233,401,27.2
03228,401,20.5
03227,401,20.5
03230,401,26.0
03229,401,31.4
43536,401,11.7
03238,401,18.8
03297,401,0.2
03049,401,3.9
03043,401,1.9
03287,401,1.4
03047,401,0.1
03052,401,3.0
03055,401,0.0
03298,401,17.7
43373,401,1.7
43008,401,1.0
03069,401,0.1
03068,401,0.1
03070,401,1.0
03072,401,1.9
03090,401,1.3
03089,401,0.1
03045,401,1.5
03044,401,0.3
43432,401,1.9
03279,401,3.3
03278,401,2.8
03077,401,2.9
03304,401,0.1
03050,401,0.2
03051,401,4.1
03303,401,0.0
03083,401,0.3
03082,401,0.2
03296,401,0.3
03059,401,0.3
03054,401,0.2
03053,401,0.2
03274,401,0.2
03042,401,0.8
03041,401,0.8
03062,401,1.1
03061,401,1.6
03067,401,1.7
03066,401,1.2
03081,401,0.8
03079,401,0.8
03085,401,0.4
03084,401,0.7
03073,401,0.1
03076,401,0.8
03075,401,0.7
03964,401,2.4
03154,401,6.4
03140,401,15.8
43585,401,12.7
03165,401,13.9
03164,401,27.8
03153,401,28.9
03152,401,26.8
03143,401,17.9
03142,401,18.9
03145,401,42.8
03144,401,42.8
03151,401,26.8
03150,401,28.1
03147,401,17.3
03117,401,37.8
03116,401,38.3
03128,401,17.9
03118,401,21.6
03994,401,12.9
03156,401,21.2
03157,401,19.2
03163,401,13.9
03280,401,25.7
03129,401,16.7
03160,401,80.9
03162,401,113.1
03131,401,46.1
03130,401,46.1
03159,401,16.8
03158,401,27.5
03133,401,22.0
03132,401,24.5
03135,401,0.8
03134,401,1.1
03137,401,0.8
03136,401,0.8
43007,401,7.2
43006,401,12.4
42286,401,2.2
03093,401,1.7
03001,401,8.0
03166,401,57.9
43535,401,32.1
03268,401,58.3
03265,401,31.5
03168,401,58.5
03170,401,58.2
03171,401,67.5
03269,401,21.2
42266,401,34.1
03267,401,21.2
03179,401,63.6
03172,401,62.5
03173,401,76.9
03174,401,32.1
03175,401,85.9
03176,401,34.0
03177,401,53.4
42267,401,34.1
43408,401,33.8
03178,401,63.8
03048,401,0.0
03959,401,1.5
43417,401,2.5
03003,401,2.1
03002,401,2.1
03014,401,1.7
03013,401,1.5
03012,401,1.7
03009,401,2.1
03008,401,2.1
03011,401,1.7
03010,401,1.2
03021,401,2.4
03007,401,1.8
03017,401,1.5
03016,401,0.0
03015,401,2.2
03005,401,0.0
42120,401,33.9
43523,401,11.7
03205,401,2.7
03161,401,31.3
03141,401,31.3
42279,401,3.0
03122,401,6.0
03293,401,12.3
03112,401,10.5
03215,401,3.8
03139,401,1.3
03046,401,0.1
43529,401,0.0
03019,401,179.9
03302,401,57.1
03998,401,0.0
03216,401,9.1
42278,401,0.3
03114,401,4.9
03096,401,1.1
03098,401,2.4
03100,401,5.5
03099,401,5.7
03120,401,2.2
03119,401,2.1
03283,401,5.7
03092,401,8.4
03091,401,0.3
03282,401,2.5
03286,401,1.7
03121,401,0.6
03127,401,8.7
03105,401,0.3
03104,401,0.3
03108,401,9.9
03109,401,9.6
03024,401,0.0
03956,401,1.4
03965,401,3.6
07921,401,0.0
43212,401,1.9
16104,401,0.0
10994,401,0.0
07974,401,24.0
18005,401,0.7
18006,401,0.6
18003,401,0.6
28322,401,0.0
18007,401,0.2
18001,401,0.0
18002,401,0.0
18406,401,0.0
18407,401,0.0
18408,401,0.0
18968,401,0.0
28319,401,0.0
19146,401,0.6
19139,401,0.0
19124,401,0.1
19077,401,0.0
19078,401,0.0
11710,401,55.6
11023,401,55.6
11022,401,88.0
11711,401,33.0
11025,401,33.0
11024,401,84.0
11028,401,1.1
11712,401,0.0
11027,401,0.0
11026,401,4.0
09041,401,7.0
09040,401,8.7
07001,401,0.0
20130,401,0.0
20131,401,0.6
20004,401,0.0
20006,401,0.0
20005,401,0.0
02044,401,18.0
16302,401,0.0
16003,401,0.0
16002,401,0.0
16001,401,0.0
43449,401,3.1
16006,401,0.0
16007,401,1.8
16008,401,2.3
16009,401,2.0
16010,401,0.0
16011,401,3.0
16005,401,1.1
16018,401,2.7
16317,401,0.0
16017,401,0.0
16016,401,0.0
16316,401,2.7
16315,401,0.0
16015,401,0.0
16014,401,0.0
43112,401,1.7
16021,401,0.8
16320,401,0.0
16020,401,0.0
16019,401,0.0
11973,401,3.7
16323,401,1.2
16023,401,1.2
16022,401,4.6
16026,401,1.3
16326,401,1.3
16325,401,1.3
16025,401,1.3
16024,401,5.3
16029,401,1.2
16328,401,1.2
16028,401,1.2
16027,401,4.5
16331,401,1.2
16031,401,1.2
16030,401,4.5
11029,401,38.7
16145,401,0.2
16335,401,0.2
16337,401,0.8
16034,401,0.8
16333,401,1.2
16033,401,1.2
16032,401,4.5
16336,401,1.2
16036,401,1.2
16035,401,4.5
43125,401,0.0
11626,401,0.3
16039,401,0.7
16338,401,0.9
16038,401,0.9
11046,401,18.8
16341,401,0.0
16041,401,0.0
16040,401,0.0
16146,401,0.1
11720,401,0.7
11049,401,0.7
11048,401,1.0
16345,401,0.1
16044,401,0.7
16347,401,0.7
16343,401,0.8
16043,401,0.8
16042,401,6.3
11050,401,3.1
16346,401,0.0
16046,401,0.0
16045,401,0.0
11058,401,3.1
11729,401,2.8
11726,401,3.4
11056,401,2.8
11054,401,2.2
11723,401,9.7
11053,401,9.7
11062,401,11.0
11060,401,12.9
11061,401,4.1
11731,401,4.1
11063,401,7.3
11052,401,12.2
11933,401,4.8
11728,401,4.0
11932,401,4.8
11727,401,3.4
11725,401,9.7
11724,401,9.7
11730,401,12.9
11733,401,4.1
11732,401,4.1
11722,401,16.3
16051,401,0.0
16350,401,0.0
16050,401,0.0
16049,401,0.0
16348,401,1.8
16048,401,1.8
16047,401,0.0
23491,401,0.0
22402,401,3.9
22529,401,0.3
07956,401,0.0
07954,401,0.7
22905,401,0.7
23296,401,0.0
23293,401,0.0
23302,401,0.0
23294,401,0.0
23305,401,0.0
23303,401,0.0
23315,401,0.0
23306,401,0.0
23316,401,0.0
23307,401,0.0
23317,401,0.0
23308,401,0.0
23318,401,0.0
23309,401,0.0
23297,401,0.0
23298,401,0.0
23300,401,0.0
23304,401,0.0
23323,401,0.0
23295,401,0.0
23310,401,0.0
23319,401,0.0
23311,401,0.0
23312,401,0.0
23320,401,0.0
23321,401,0.0
23322,401,0.0
23313,401,0.0
23314,401,0.0
23299,401,0.0
23301,401,0.0
43384,401,0.0
13953,401,0.0
13954,401,0.0
13955,401,0.0
13956,401,0.0
13957,401,0.0
13958,401,0.0
23646,401,0.0
23647,401,0.0
23648,401,0.0
23649,401,0.0
23650,401,0.0
13595,401,0.0
13904,401,0.0
13975,401,0.0
13983,401,0.0
13596,401,0.0
13597,401,0.0
13369,401,0.0
13165,401,0.0
13950,401,0.0
13806,401,0.0
13805,401,0.0
23660,401,0.0
23658,401,0.0
13055,401,0.0
23659,401,0.0
13370,401,0.0
13343,401,0.0
13485,401,0.0
23595,401,0.0
23596,401,0.0
23615,401,0.0
23613,401,0.0
23634,401,0.0
23632,401,0.0
13371,401,0.0
13808,401,0.0
13807,401,0.0
13372,401,0.0
13367,401,0.0
13804,401,0.0
13803,401,0.0
