food_id,nutrient_id,amount_in_food
9002,323,0.18
14006,323,0
14003,323,0
14034,323,0
14010,323,0.03
14037,323,0
14550,323,0
14551,323,0
14049,323,0
14050,323,0
14415,323,0.45
14414,323,0
14017,323,0.02
43479,323,0
14029,323,0
14025,323,0
43154,323,0
14536,323,0
14057,323,0
43155,323,0
14084,323,0
14096,323,0
14106,323,0
11001,323,0.02
20002,323,0.19
20001,323,1.19
4609,323,0.6
9400,323,0.01
9016,323,0.01
9018,323,0.01
9017,323,0.04
36000,323,0.37
36023,323,1.45
36005,323,1.28
36019,323,1.15
36021,323,0.5
36022,323,1.27
36001,323,1.97
36018,323,0.88
36002,323,0.93
36003,323,0.52
36004,323,0.71
9008,323,0.21
9007,323,0.21
9009,323,0.75
9012,323,0.12
9011,323,0.53
9504,323,0.18
9503,323,0.18
9501,323,0.18
9502,323,0.18
9500,323,0.24
9003,323,0.18
9004,323,0.05
9005,323,0.05
9006,323,0.05
9020,323,0.18
9401,323,0.16
9019,323,0.16
9036,323,0.31
9027,323,0.6
9357,323,0.89
9024,323,0.6
9026,323,0.6
9022,323,0.6
9033,323,1.53
9032,323,4.33
9021,323,0.89
11702,323,0.19
11008,323,0.19
11703,323,0.16
11010,323,0.16
11007,323,0.19
11959,323,0.43
11015,323,1.22
11707,323,0.29
11013,323,1.16
11012,323,1.5
11705,323,1.5
11709,323,1.2
11019,323,1.2
11011,323,1.13
9037,323,2.07
9038,323,1.97
9039,323,2.66
3964,323,0.9
42150,323,0.02
3167,323,0.02
3169,323,0.56
3289,323,0.07
3115,323,0.23
3997,323,0.17
42284,323,3.9
43550,323,0.02
42119,323,0.05
43546,323,0.25
3995,323,0.37
3301,323,0
3290,323,0.65
42316,323,0.59
3181,323,5
3681,323,0.43
42285,323,1.29
3185,323,3.68
3685,323,0.47
3188,323,0.03
3187,323,0.03
3186,323,0.51
3686,323,0.44
3189,323,4.95
3192,323,0.1
3191,323,0.16
3190,323,5
3690,323,0.44
43544,323,0.13
3194,323,5
3694,323,0.44
3195,323,0.04
3212,323,0.37
3712,323,0.09
3210,323,0.04
3184,323,1.13
3222,323,0.03
3206,323,1.48
3213,323,0.46
3214,323,3.86
3934,323,0.51
3209,323,8.05
43004,323,0.07
43539,323,0.02
43537,323,0.4
3225,323,0.01
3224,323,0.01
3246,323,0.09
3245,323,0.23
3221,323,0.04
3220,323,0.04
3236,323,0.29
3235,323,0.29
3233,323,0
3228,323,0.31
3227,323,0.31
43536,323,0
3297,323,0.07
3287,323,0.47
3047,323,0.31
3052,323,0.5
3055,323,0.57
3298,323,0.6
43373,323,0.19
43008,323,0.11
3069,323,0.15
3068,323,0.21
3070,323,0.51
3072,323,0.22
3090,323,0.03
3089,323,0.02
3045,323,0.81
3044,323,2.62
43432,323,0.09
3077,323,0.23
3304,323,0.02
3050,323,0.07
3303,323,0.58
3083,323,0.31
3082,323,0.14
3296,323,0.15
3059,323,0.51
3054,323,0.49
3053,323,0.49
3274,323,0.16
3041,323,0.24
3062,323,0.31
3061,323,0.31
3067,323,0.24
3066,323,0.24
3085,323,0.31
3084,323,0.3
3073,323,0.32
3154,323,0.16
3140,323,0.66
43585,323,0.79
3165,323,0.27
3164,323,0.12
3153,323,0.07
3152,323,0.21
3143,323,0.04
3142,323,0.18
3145,323,0.06
3144,323,0.12
3151,323,0.6
3150,323,0.6
3147,323,0.02
3117,323,0.6
3116,323,0.6
3128,323,0.6
3118,323,0.1
3994,323,0.12
3156,323,0.02
3157,323,0.06
3163,323,0.08
3280,323,0.6
3129,323,0.6
3131,323,1.99
3130,323,1.99
3159,323,0.08
3158,323,0.04
3133,323,0.6
3132,323,0.09
3135,323,0.6
3134,323,0.14
3137,323,0.11
3136,323,0.6
43007,323,0.15
43006,323,0.11
42286,323,0.45
3093,323,0.31
3001,323,0.01
3166,323,0.6
43535,323,0.02
3268,323,0.02
3265,323,0
3168,323,0.15
3170,323,0.04
3171,323,0.05
42266,323,0.34
3269,323,0
3267,323,0.01
3179,323,0.04
3172,323,0.04
3174,323,0.02
3175,323,0.6
3177,323,0.6
42267,323,0.29
43408,323,0.09
3048,323,0.03
3959,323,0.09
43417,323,0.37
3003,323,0.37
3002,323,0.37
3014,323,0.37
3013,323,0.4
3012,323,0.25
3009,323,0.4
3008,323,0.13
3011,323,0.4
3010,323,0.19
3021,323,0.28
3007,323,0.4
3017,323,0.12
3016,323,0.08
3015,323,0.08
3005,323,0.28
42120,323,0.03
43523,323,0.13
3996,323,4.22
3205,323,2.48
3161,323,0.83
3141,323,0.11
42279,323,0.07
3122,323,0.45
3293,323,0.24
3112,323,0.02
3215,323,0.28
3139,323,0.55
3046,323,0.42
43529,323,0.22
3019,323,0.96
3302,323,6.43
3998,323,8.57
3216,323,1.1
42278,323,0.15
3114,323,0.08
3096,323,0.08
3098,323,0.03
3100,323,0.52
3099,323,0.52
3120,323,0.04
3119,323,0.04
3283,323,0.52
3092,323,0.32
3091,323,0.07
3282,323,0.52
3286,323,0.24
3121,323,0.02
3127,323,0.83
3105,323,0.55
3104,323,0.55
3108,323,0.52
3109,323,0.52
3956,323,0.07
3965,323,0.09
43212,323,6.9
16104,323,6.9
10994,323,0.43
18968,323,0.32
18005,323,0.31
18006,323,0.34
18007,323,0.33
18001,323,7.46
18002,323,0.12
19124,323,0.36
19078,323,0.4
11710,323,1.45
11023,323,1.45
11711,323,0.14
11025,323,0.14
11028,323,0.63
11026,323,1
9041,323,0.39
9040,323,0.1
20130,323,0.57
20131,323,0.57
20004,323,0.57
20006,323,0.01
20005,323,0.02
2044,323,0.8
42182,323,0.23
43449,323,0.15
16006,323,0.15
16008,323,0.16
16010,323,0.04
16011,323,0.1
16018,323,0.62
16317,323,0.87
16017,323,0.87
16016,323,0.21
16316,323,0.62
16014,323,0.21
