food_id,nutrient_id,amount_in_food
9002,430,1.4
14006,430,0
14003,430,0
14034,430,0
14010,430,0.1
14037,430,0
14550,430,0
14551,430,0
14049,430,0
14050,430,0
14415,430,1.3
14414,430,0
14017,430,0.1
43479,430,0
14029,430,0
14025,430,0
43154,430,0
14536,430,0
14057,430,0
43155,430,0
14084,430,0
14096,430,0.4
14106,430,0.4
11001,430,30.5
20001,430,0
11003,430,1140
4609,430,0
9400,430,0
9016,430,0
9018,430,0
9017,430,0
36005,430,25.1
36021,430,65.1
36022,430,41.1
36001,430,29.1
36002,430,33.4
36004,430,22.2
9008,430,0.6
9007,430,0.6
9009,430,4.3
9012,430,0.7
9011,430,3
9504,430,1
9503,430,1.3
9501,430,1.8
9502,430,3.2
9500,430,2.6
9003,430,2.2
9004,430,0.6
9005,430,0.6
9006,430,0.7
9020,430,0.6
9401,430,0.5
9019,430,0.5
9036,430,1.2
9027,430,2.2
9357,430,3.3
9024,430,2.2
9026,430,2.2
9022,430,2.2
9033,430,1.1
9032,430,3.1
9021,430,3.3
11702,430,14.8
11008,430,14.8
11703,430,12.6
11010,430,12.6
11007,430,14.8
11959,430,108.6
11015,430,41.3
11707,430,39
11012,430,50.6
11705,430,50.6
11709,430,80
11019,430,80
11011,430,41.6
9037,430,21
9038,430,21
3964,430,4.1
42150,430,0.2
3167,430,0
3169,430,2.4
3289,430,0.5
3115,430,0.6
3997,430,0
42284,430,15
43550,430,0.1
42119,430,0.4
43546,430,0.5
3995,430,6.3
3301,430,0.2
3290,430,7.4
42316,430,7.9
3181,430,2.3
3681,430,0.4
42285,430,2
3185,430,1.5
3685,430,0.4
3188,430,0.3
3187,430,0.3
3186,430,3.5
3686,430,0.5
3189,430,4.1
3192,430,0.6
3191,430,2.2
3190,430,3
3690,430,0.5
43544,430,0.3
3194,430,0
3694,430,0.2
3195,430,0.2
3212,430,3.8
3712,430,0.5
3210,430,0.2
3184,430,8.3
3222,430,0.5
3206,430,3.2
3213,430,1.1
3214,430,0.5
3934,430,0.6
3209,430,7.1
43004,430,0.2
43539,430,0.1
43537,430,13.3
3225,430,0.2
3224,430,0.2
3246,430,0
3245,430,0
3221,430,0.5
3220,430,0.5
3236,430,1.5
3235,430,1.5
3233,430,0
3228,430,1.1
3227,430,1.1
43536,430,0
3297,430,0.6
3287,430,4.6
3047,430,1.6
3052,430,2.5
3055,430,11.6
3298,430,73.5
43373,430,3.3
43008,430,1.8
3069,430,1.6
3068,430,1.9
3070,430,6.9
3072,430,3.7
3090,430,0.2
3089,430,0.2
3045,430,6.7
3044,430,29.3
43432,430,0.4
3077,430,2.1
3304,430,1.3
3050,430,0.8
3303,430,1.3
3083,430,3
3082,430,1.5
3296,430,3.9
3059,430,9.1
3054,430,5.2
3053,430,5.2
3274,430,2.1
3062,430,2.7
3061,430,2.7
3066,430,2.3
3085,430,4.8
3084,430,3.9
3073,430,3.4
3154,430,0.8
3140,430,2.5
43585,430,5.1
3165,430,8.8
3164,430,3.5
3153,430,0.8
3152,430,0.8
3143,430,0.5
3142,430,1
3145,430,1.2
3144,430,2
3147,430,0.3
3117,430,0.3
3116,430,0.5
3128,430,0.4
3118,430,0.4
3994,430,0.6
3156,430,0.6
3157,430,0.6
3163,430,0.6
3280,430,0.2
3129,430,0
3131,430,6.6
3130,430,6.6
3159,430,3
3158,430,1.6
3133,430,3.4
3132,430,3.2
3135,430,3.4
3134,430,3.5
3137,430,15.8
3136,430,15.6
43007,430,0.6
43006,430,0.4
42286,430,14.8
3093,430,11
3001,430,0
3166,430,0
43535,430,0.2
3268,430,0.4
3265,430,0
3168,430,0.5
3170,430,0.8
3171,430,1.3
42266,430,0.7
3269,430,0
3267,430,0.1
3179,430,0.9
3172,430,0.1
3174,430,0.1
42267,430,1.5
43408,430,3.4
3048,430,0.2
3959,430,8.1
43417,430,3.2
3003,430,0.6
3002,430,0.6
3014,430,0.4
3013,430,1.7
3012,430,1
3009,430,0
3008,430,0
3010,430,0.6
3021,430,0.5
3017,430,0
3016,430,0
3015,430,0
3005,430,0
42120,430,0.2
43523,430,0.5
3996,430,7
3205,430,7.5
3161,430,2.9
3141,430,4
42279,430,12.6
3122,430,18
3293,430,5.7
3112,430,0.2
3215,430,0.3
3139,430,22.1
3046,430,9.4
43529,430,1.5
3019,430,2.5
3302,430,12.2
3998,430,9.8
3216,430,0.5
42278,430,13.4
3114,430,2.4
3096,430,1.4
3098,430,0.2
3100,430,12.5
3099,430,14.4
