food_id,nutrient_id,amount_in_food
09002,309,0.1
09001,309,0.1
14006,309,0.01
14007,309,0.0
14005,309,0.01
14248,309,0.01
14013,309,0.01
14003,309,0.01
14004,309,0.0
14034,309,0.04
14009,309,0.03
14010,309,0.04
14533,309,0.04
14037,309,0.04
14550,309,0.04
14551,309,0.04
14532,309,0.04
14049,309,0.0
14050,309,0.07
14051,309,0.0
14052,309,0.02
14415,309,0.16
14414,309,0.03
14534,309,0.03
14239,309,0.01
14015,309,0.2
14017,309,0.13
43479,309,0.02
14019,309,0.6
14531,309,0.06
14027,309,0.06
14029,309,0.06
14025,309,0.04
43154,309,0.08
14536,309,0.07
14057,309,0.07
43155,309,0.08
14084,309,0.13
14096,309,0.14
14602,309,0.14
14106,309,0.12
14160,309,0.12
14251,309,0.01
14253,309,0.11
11001,309,0.92
20002,309,0.86
20001,309,2.87
11700,309,0.88
11004,309,0.88
11003,309,0.9
28354,309,0.77
04609,309,0.11
09400,309,0.02
09517,309,0.04
09016,309,0.02
09018,309,0.04
09411,309,0.04
09410,309,0.13
09017,309,0.13
36000,309,5.35
36023,309,0.71
36005,309,0.71
36019,309,2.23
36021,309,0.19
36022,309,0.43
36001,309,0.78
36018,309,0.34
36002,309,0.49
36003,309,0.57
36004,309,2.0
09008,309,0.05
09007,309,0.03
09010,309,0.06
09009,309,0.29
09013,309,0.04
09012,309,0.05
09011,309,0.2
09015,309,0.05
09014,309,0.05
09504,309,0.04
09503,309,0.05
09501,309,0.04
09502,309,0.04
09500,309,0.04
09003,309,0.04
09004,309,0.05
09005,309,0.04
09006,309,0.04
09402,309,0.04
09020,309,0.03
09401,309,0.03
09019,309,0.03
09403,309,0.09
09036,309,0.09
09029,309,0.1
09025,309,0.08
09027,309,0.11
09028,309,0.1
09357,309,0.11
09024,309,0.11
09026,309,0.11
09022,309,0.11
09023,309,0.11
09031,309,0.39
09030,309,1.0
09034,309,0.24
09033,309,0.14
09032,309,0.39
09035,309,0.1
09021,309,0.2
21527,309,2.27
11701,309,0.22
11006,309,0.22
11005,309,0.28
20003,309,0.07
11697,309,0.63
11702,309,0.4
11008,309,0.4
11703,309,0.36
11010,309,0.36
11009,309,0.32
11007,309,0.49
11959,309,0.47
11015,309,0.4
11707,309,0.47
11013,309,0.47
11012,309,0.6
11705,309,0.6
11709,309,0.41
11019,309,0.41
11018,309,0.59
11011,309,0.54
09037,309,0.64
09038,309,0.68
09039,309,0.4
42150,309,0.28
03167,309,0.04
03169,309,0.05
03289,309,0.4
03115,309,0.04
03997,309,0.65
42284,309,4.0
43550,309,0.05
42119,309,0.14
43546,309,0.05
03995,309,0.23
03301,309,0.71
03290,309,0.8
42316,309,0.2
03181,309,3.13
03681,309,0.57
42285,309,0.0
03201,309,0.27
03682,309,1.04
03211,309,2.7
03711,309,0.76
03185,309,2.4
03685,309,0.59
03188,309,0.22
03187,309,0.19
03186,309,1.4
03686,309,0.49
03704,309,0.72
03189,309,12.67
03689,309,0.92
03192,309,7.5
03191,309,0.35
03190,309,1.9
03690,309,0.49
03193,309,3.7
03693,309,0.93
43544,309,3.3
03194,309,10.92
03694,309,0.49
03195,309,0.08
03212,309,1.5
03712,309,0.46
03696,309,0.65
03184,309,2.6
03198,309,0.29
03197,309,0.29
03199,309,0.33
03222,309,0.05
03206,309,0.8
03213,309,1.1
03214,309,0.53
03934,309,0.19
03209,309,0.9
43004,309,0.12
43539,309,0.26
43537,309,0.14
03225,309,0.03
03224,309,0.04
03246,309,0.3
03245,309,0.28
03221,309,0.03
03220,309,0.01
03236,309,0.05
03235,309,0.04
03226,309,0.17
03233,309,0.2
03228,309,0.03
03227,309,0.3
03230,309,0.28
03229,309,0.28
43536,309,0.18
03238,309,0.05
03297,309,0.36
03049,309,0.92
03043,309,0.7
03287,309,0.4
03047,309,0.6
03052,309,0.87
03055,309,0.35
03298,309,0.39
43373,309,0.41
43008,309,0.25
03069,309,0.4
03068,309,0.55
03070,309,0.22
03072,309,0.41
03090,309,0.32
03089,309,0.4
03045,309,0.36
03044,309,0.54
43432,309,0.48
03279,309,0.24
03278,309,0.16
03077,309,0.4
03304,309,0.6
03050,309,0.53
03051,309,0.48
03303,309,0.37
03083,309,0.47
03082,309,0.4
03296,309,0.61
03059,309,0.3
03054,309,0.38
03053,309,0.38
03274,309,0.3
03042,309,0.33
03041,309,0.4
03062,309,0.3
03061,309,0.32
03067,309,0.22
03066,309,0.22
03081,309,0.3
03079,309,0.27
03085,309,0.3
03084,309,0.7
03073,309,0.48
03076,309,0.32
03075,309,0.25
03964,309,0.59
03154,309,0.1
03140,309,0.03
43585,309,0.08
03165,309,0.04
03164,309,0.03
03153,309,0.03
03152,309,0.03
03143,309,0.03
03142,309,0.04
03145,309,0.03
03144,309,0.03
03151,309,0.03
03150,309,0.02
03147,309,0.05
03117,309,0.04
03116,309,0.02
03128,309,0.04
03118,309,0.05
03994,309,0.23
03156,309,0.03
03157,309,0.04
03163,309,0.1
03280,309,0.07
03129,309,0.06
03160,309,0.06
03162,309,0.03
03131,309,0.11
03130,309,0.11
03159,309,0.13
03158,309,0.07
03133,309,0.08
03132,309,0.08
03135,309,0.08
03134,309,0.08
03137,309,0.1
03136,309,0.09
43007,309,0.19
43006,309,0.8
42286,309,0.6
03093,309,0.1
03001,309,0.03
03166,309,0.03
43535,309,0.03
03268,309,0.03
03265,309,0.04
03168,309,0.03
03170,309,0.03
03171,309,0.05
03269,309,0.03
42266,309,0.08
03267,309,0.04
03179,309,0.03
03172,309,0.06
03173,309,0.03
03174,309,0.03
03175,309,0.04
03176,309,0.09
03177,309,0.04
42267,309,0.07
43408,309,0.08
03178,309,0.04
03048,309,0.43
03959,309,0.16
43417,309,0.87
03003,309,2.22
03002,309,2.22
03014,309,1.01
03013,309,1.01
03012,309,1.21
03009,309,1.7
03008,309,2.25
03011,309,2.6
03010,309,2.43
03021,309,1.9
03007,309,2.27
03017,309,2.4
03016,309,1.77
03015,309,1.77
03005,309,2.5
42120,309,0.14
43523,309,0.11
03205,309,5.7
03161,309,0.12
03141,309,0.09
42279,309,0.46
03122,309,0.5
03293,309,0.13
03112,309,0.17
03215,309,0.78
03139,309,0.2
03046,309,0.35
43529,309,1.4
03019,309,0.14
03302,309,1.77
03998,309,3.57
03216,309,0.93
42278,309,0.22
03114,309,0.3
03096,309,0.3
03098,309,0.12
03100,309,0.18
03099,309,0.15
03120,309,0.23
03119,309,0.19
03283,309,0.26
03092,309,0.19
03091,309,0.22
03282,309,0.27
03286,309,0.15
03121,309,0.47
03127,309,0.31
03105,309,0.19
03104,309,0.19
03108,309,0.21
03109,309,0.11
03024,309,0.0
03956,309,0.59
03965,309,0.54
07921,309,3.23
43212,309,1.87
16104,309,0.42
10994,309,1.19
07974,309,1.61
18005,309,1.13
18006,309,0.81
18003,309,0.77
28322,309,1.52
18007,309,0.9
18001,309,0.83
18002,309,1.3
18406,309,0.88
18407,309,0.88
18408,309,0.88
18968,309,1.1
28319,309,1.62
19124,309,1.26
19077,309,3.68
19078,309,9.63
11710,309,0.3
11023,309,0.3
11022,309,0.3
11711,309,0.77
11025,309,0.77
11024,309,0.8
11028,309,0.65
11712,309,0.47
11027,309,0.47
11026,309,1.1
09041,309,0.61
09040,309,0.15
32035,309,0.73
18991,309,0.2
07001,309,2.46
20130,309,2.0
20131,309,2.06
20004,309,2.77
20006,309,0.82
20005,309,2.13
02044,309,0.81
16302,309,1.77
16003,309,1.56
16002,309,1.77
16001,309,5.04
43449,309,1.4
16006,309,2.28
16007,309,1.2
16008,309,1.87
16009,309,1.46
16010,309,0.51
16011,309,5.48
16005,309,0.73
16018,309,0.54
16317,309,0.76
16017,309,0.76
16016,309,2.2
16316,309,0.54
16315,309,1.12
16015,309,1.12
16014,309,3.65
43112,309,2.0
16021,309,0.84
16320,309,1.14
16020,309,1.14
16019,309,3.63
11973,309,1.0
16323,309,0.64
16023,309,0.64
16022,309,1.9
16026,309,0.65
16326,309,0.65
16325,309,0.88
16025,309,0.88
16024,309,2.31
16029,309,0.46
16328,309,1.07
16028,309,1.0
16027,309,2.79
16331,309,0.86
16031,309,0.86
16030,309,2.55
11029,309,0.4
